Node_No,X,Y,Z,Total Deformation
1,0.0007,0.0034,0.0350,0.0352
2,-0.0003,0.0035,0.0350,0.0352
3,-0.0013,0.0033,0.0350,0.0352
4,-0.0021,0.0028,0.0350,0.0352
5,-0.0028,0.0021,0.0350,0.0352
6,-0.0033,0.0012,0.0350,0.0352
7,-0.0035,0.0002,0.0350,0.0352
8,-0.0034,-0.0008,0.0350,0.0352
9,-0.0031,-0.0017,0.0350,0.0352
10,-0.0024,-0.0025,0.0350,0.0352
11,-0.0016,-0.0031,0.0350,0.0352
12,-0.0007,-0.0034,0.0350,0.0352
13,0.0003,-0.0035,0.0350,0.0352
14,0.0013,-0.0033,0.0350,0.0352
15,0.0021,-0.0028,0.0350,0.0352
16,0.0028,-0.0021,0.0350,0.0352
17,0.0033,-0.0012,0.0350,0.0352
18,0.0035,-0.0002,0.0350,0.0352
19,0.0034,0.0008,0.0350,0.0352
20,0.0031,0.0017,0.0350,0.0352
21,0.0024,0.0025,0.0350,0.0352
22,0.0016,0.0031,0.0350,0.0352
23,0.0007,0.0034,0.0490,0.0491
24,0.0007,0.0034,0.0400,0.0402
25,0.0007,0.0034,0.0480,0.0481
26,0.0007,0.0034,0.0470,0.0471
27,0.0007,0.0034,0.0460,0.0461
28,0.0007,0.0034,0.0450,0.0451
29,0.0007,0.0034,0.0440,0.0441
30,0.0007,0.0034,0.0430,0.0431
31,0.0007,0.0034,0.0420,0.0421
32,0.0007,0.0034,0.0410,0.0411
33,-0.0007,0.0034,0.0490,0.0491
34,0.0016,0.0031,0.0490,0.0491
35,0.0024,0.0025,0.0490,0.0491
36,0.0030,0.0018,0.0490,0.0491
37,0.0034,0.0009,0.0490,0.0491
38,0.0035,-0.0001,0.0490,0.0491
39,0.0033,-0.0011,0.0490,0.0491
40,0.0029,-0.0020,0.0490,0.0491
41,0.0022,-0.0027,0.0490,0.0491
42,0.0014,-0.0032,0.0490,0.0491
43,0.0005,-0.0035,0.0490,0.0491
44,-0.0005,-0.0035,0.0490,0.0491
45,-0.0015,-0.0032,0.0490,0.0491
46,-0.0023,-0.0027,0.0490,0.0491
47,-0.0029,-0.0019,0.0490,0.0491
48,-0.0033,-0.0010,0.0490,0.0491
49,-0.0035,-0.0001,0.0490,0.0491
50,-0.0034,0.0009,0.0490,0.0491
51,-0.0030,0.0018,0.0490,0.0491
52,-0.0024,0.0026,0.0490,0.0491
53,-0.0016,0.0031,0.0490,0.0491
54,-0.0007,0.0034,0.0400,0.0402
55,-0.0007,0.0034,0.0410,0.0411
56,-0.0007,0.0034,0.0420,0.0421
57,-0.0007,0.0034,0.0430,0.0431
58,-0.0007,0.0034,0.0440,0.0441
59,-0.0007,0.0034,0.0450,0.0451
60,-0.0007,0.0034,0.0460,0.0461
61,-0.0007,0.0034,0.0470,0.0471
62,-0.0007,0.0034,0.0480,0.0481
63,0.0000,0.0035,0.0400,0.0402
64,-0.0007,0.0020,0.0500,0.0500
65,-0.0007,0.0024,0.0500,0.0501
66,0.0007,0.0024,0.0500,0.0501
67,-0.0015,0.0020,0.0500,0.0501
68,-0.0021,0.0013,0.0500,0.0501
69,-0.0025,0.0004,0.0500,0.0501
70,-0.0024,-0.0006,0.0500,0.0501
71,-0.0021,-0.0014,0.0500,0.0501
72,-0.0014,-0.0021,0.0500,0.0501
73,-0.0005,-0.0025,0.0500,0.0501
74,0.0005,-0.0025,0.0500,0.0501
75,0.0013,-0.0021,0.0500,0.0501
76,0.0020,-0.0015,0.0500,0.0501
77,0.0024,-0.0006,0.0500,0.0501
78,0.0025,0.0004,0.0500,0.0501
